Time,Aadc,AdB,AuV,A2hcounts,LnA2hcounts,EioktoJ,EdB,Emarse,Tdur,Trise,hcounts,AF,RA,Clust,Heat
"4646,495",46,35,56,8,"0,04745",75084,"48,8","274014,5",34,6,7,205,"9,333",0,1
"4758,790",87,"40,5",106,"21,2","0,19388",228555,"53,6","478073,9",35,14,5,142,"7,571",0,1
"4877,666",40,"33,8","48,7","24,4","0,09619",12569,41,"112113,1",6,6,2,333,"8,117",0,1
"4894,667",259,50,"315,4","7,3","0,04791",2698782,"64,3",1642797,297,31,43,144,"10,174",0,1
"4924,983",52,36,"63,3","21,1","0,15158",103784,"50,2","322155,4",31,21,3,96,"3,014",0,1
"4928,910",84,"40,2","102,3","12,8","0,11679",350454,"55,4","591991,1",49,17,8,163,"6,018",0,1
"4980,487",55,"36,5",67,"9,6","0,07298",57752,"47,6","240317,1",30,6,7,233,"11,167",0,1
"4983,885",275,"50,5","334,9","9,6","0,06058",2255382,"63,5","1501792,9",190,32,35,184,"10,466",0,1
"5014,748",64,"37,8","77,9","15,6","0,13248",81010,"49,1","284623,3",31,31,5,161,"2,513",0,1
"5151,241",47,"35,2","57,2","19,1","0,11788",77106,"48,9","277679,5",32,22,3,93,"2,600",0,1
"5247,047",61,"37,4","74,3","10,6","0,08777",109817,"50,4","331386,9",29,15,7,241,"4,953",0,1
"5248,443",39,"33,5","47,5","15,8","0,05568",19290,"42,9","138889,6",10,10,3,300,"4,750",0,1
"5295,051",44,"34,6","53,6","26,8","0,14384",12818,"41,1","113215,6",5,1,2,400,"53,600",0,1
"5349,918",48,"35,3","58,5","19,5","0,1249",10064,40,"100321,4",6,1,3,500,"58,500",0,1
"5364,392",82,40,"99,9","16,6","0,1517",109874,"50,4","331472,1",28,20,6,214,"4,995",0,1
"5407,181",44,"34,6","53,6","17,9","0,09589",103017,"50,1","320962,3",46,9,3,65,"5,956",0,1
"5447,795",45,"34,8","54,8",11,"0,06203",88358,"49,5","297251,3",39,2,5,128,"27,400",0,1
"5931,521",49,"35,5","59,7","14,9","0,09883",71739,"48,6","267840,9",27,13,4,148,"4,592",0,1
"5972,427",53,"36,2","64,5","12,9","0,09476",116341,"50,7","341088,1",36,13,5,138,"4,962",0,1
"6198,722",33,"32,1","40,2","40,2",0,1615,"32,1","40188,4",1,1,1,1000,"40,200",0,1
"6262,909",44,"34,6","53,6","26,8","0,14384",24508,"43,9","156551,6",10,10,2,200,"5,360",0,1
"6843,961",33,"32,1","40,2","40,2",0,1615,"32,1","40188,4",1,1,1,1000,"40,200",0,1
"7099,804",61,"37,4","74,3","12,4","0,10239",79228,49,"281474,2",24,11,6,250,"6,755",0,1
"8237,285",43,"34,4","52,4","10,5","0,05294",44433,"46,5","210790,9",27,9,5,185,"5,822",0,1
"8464,301",73,39,"88,9","14,8","0,13233",337989,"55,3","581368,3",107,21,6,56,"4,233",0,1
"8790,209",134,"44,3","163,2","6,8","0,05839",953066,"59,8","976251,1",177,21,24,135,"7,771",0,1
"8855,534",52,36,"63,3","15,8","0,11368",68720,"48,4","262144,8",30,2,4,133,"31,650",0,1
"8870,262",66,"38,1","80,4","13,4","0,11552",93113,"49,7","305144,4",23,10,6,260,"8,040",0,1
"8876,678",79,"39,7","96,2","13,7","0,12471",94737,"49,8","307794,5",23,10,7,304,"9,620",0,1
"8984,246",43,"34,4","52,4","13,1","0,06617",39365,46,"198407,3",30,30,4,133,"1,747",0,1
"9247,387",34,"32,3","41,4","41,4","0,02985",1714,"32,3","41406,2",1,1,1,1000,"41,400",0,1
"9261,906",50,"35,7","60,9","6,8","0,04617",69644,"48,4","263900,6",34,10,9,264,"6,090",0,1
"9520,685",290,51,"353,2","4,7","0,02898",20360809,"73,1","4512295,3",1330,8,75,56,"44,150",0,1
"10003,010",39,"33,5","47,5","23,7","0,08353",20363,"43,1","142699,3",10,10,2,200,"4,750",0,1
"10152,826",41,34,"49,9","49,9","0,21706",2493,34,49931,1,1,1,1000,"49,900",0,1
"10167,114",59,"37,1","71,9","10,3","0,083",630038,58,"793749,6",231,10,7,30,"7,190",0,1
"10221,649",40,"33,8","48,7","16,2","0,06412",8175,"39,1","90415,2",6,1,3,500,"48,700",0,1
"10250,978",33,"32,1","40,2","40,2",0,1615,"32,1","40188,4",1,1,1,1000,"40,200",0,1
"10412,406",46,35,56,"18,7","0,11071",210275,"53,2","458557,9",90,1,3,33,"56,000",0,1
"10515,303",128,"43,9","155,9","11,1","0,09682",952805,"59,8","976117,3",120,29,14,116,"5,376",0,1
"10639,041",35,"32,6","42,6","21,3","0,02942",44141,"46,4","210097,7",25,1,2,80,"42,600",0,1
"10681,369",33,"32,1","40,2","40,2",0,1615,"32,1","40188,4",1,1,1,1000,"40,200",0,1
"10745,727",76,"39,3","92,6","11,6","0,10428",148037,"51,7","384756,2",34,10,8,235,"9,260",0,1
"10767,326",72,"38,9","87,7","5,2","0,04589",540455,"57,3","735156,7",183,61,17,92,"1,438",0,1
"10767,673",41,34,"49,9","16,6","0,07235",6847,"38,4","82746,7",5,1,3,600,"49,900",0,1
"11116,286",38,"33,3","46,3","23,1","0,07054",10159,"40,1","100793,4",5,1,2,400,"46,300",0,1
"11142,811",72,"38,9","87,7","2,6","0,02295",784161,"58,9","885528,6",269,12,34,126,"7,308",0,1
"11153,420",35,"32,6","42,6","42,6","0,05884",1817,"32,6","42624,1",1,1,1,1000,"42,600",0,1
"11222,837",128,"43,9","155,9","4,3","0,03765",1033649,"60,1","1016685,4",272,31,36,132,"5,029",0,1
"11312,142",38,"33,3","46,3","46,3","0,14108",2142,"33,3","46277,5",1,1,1,1000,"46,300",0,1
"11322,476",33,"32,1","40,2","40,2",0,1615,"32,1","40188,4",1,1,1,1000,"40,200",0,1
"11371,336",33,"32,1","40,2","40,2",0,1615,"32,1","40188,4",1,1,1,1000,"40,200",0,1
"11440,399",45,"34,8","54,8","27,4","0,15508",59166,"47,7","243241,5",23,24,2,86,"2,283",0,1
"11484,066",95,"41,3","115,7","3,3","0,03021",1642261,"62,2","1281507,3",382,43,35,91,"2,691",0,1
"11487,282",49,"35,5","59,7","19,9","0,13177",34571,"45,4","185933,6",14,5,3,214,"11,940",0,1
"11543,183",34,"32,3","41,4","41,4","0,02985",1714,"32,3","41406,2",1,1,1,1000,"41,400",0,1
"11624,146",67,"38,2","81,6","6,3","0,05448",361572,"55,6","601308,6",113,12,13,115,"6,800",0,1
"11675,366",36,"32,8","43,8","14,6","0,029",17174,"42,3","131051,2",10,11,3,300,"3,982",0,1
"11703,045",34,"32,3","41,4","20,7","0,01493",13318,"41,2","115405,1",8,9,2,250,"4,600",0,1
"11719,508",34,"32,3","41,4","20,7","0,01493",64927,"48,1","254807,5",39,1,2,51,"41,400",0,1
"11743,013",42,"34,2","51,1","12,8","0,06029",50717,"47,1","225203,9",33,21,4,121,"2,433",0,1
"11751,210",39,"33,5","47,5","11,9","0,04176",23973,"43,8","154833,3",19,11,4,210,"4,318",0,1
"11760,031",39,"33,5","47,5","47,5","0,16705",2256,"33,5","47495,4",1,1,1,1000,"47,500",0,1
"11766,317",109,"42,5","132,7","12,1","0,10862",441971,"56,5","664809,1",76,17,11,144,"7,806",2,1
"11768,153",75,"39,2","91,3","8,3","0,07463",407424,"56,1","638297,6",116,30,11,94,"3,043",0,1
"11785,539",44,"34,6","53,6","17,9","0,09589",33734,"45,3","183667,7",14,2,3,214,"26,800",0,1
"11808,003",58,37,"70,6","2,7","0,02169",431566,"56,4",656937,210,34,26,123,"2,076",0,1
"11821,358",66,"38,1","80,4","80,4","0,69315",6460,"38,1","80376,8",1,2,1,1000,"40,200",0,1
"11842,237",55,"36,5",67,"13,4","0,10217",70575,"48,5","265660,1",22,6,5,227,"11,167",0,1
"11867,222",37,"33,1","45,1","22,5","0,05721",182741,"52,6","427482,6",95,95,2,21,"0,475",0,1
"11880,040",91,"40,9","110,8","7,4","0,06762",749801,"58,7","865910,2",182,6,15,82,"18,467",0,1
"11887,668",39,"33,5","47,5","11,9","0,04176",15521,"41,9","124582,3",10,6,4,400,"7,917",0,1
"11895,898",54,"36,4","65,8","9,4","0,07035",164691,"52,2","405821,8",72,6,7,97,"10,967",0,1
"11897,000",44,"34,6","53,6","10,7","0,05754",13455,"41,3","115994,7",10,5,5,500,"10,720",0,1
"11998,212",144,"44,9","175,4","13,5","0,11333",1185622,"60,7","1088862,7",117,20,13,111,"8,770",2,1
"12010,459",43,"34,4","52,4","10,5","0,05294",28421,"44,5","168583,9",18,10,5,277,"5,240",0,1
"12019,853",40,"33,8","48,7","16,2","0,06412",14987,"41,8","122422,7",11,11,3,272,"4,427",0,1
"12029,205",51,"35,9","62,1","12,4","0,08706",62353,"47,9","249705,6",22,15,5,227,"4,140",0,1
"12029,644",33,"32,1","40,2","40,2",0,1615,"32,1","40188,4",1,1,1,1000,"40,200",0,1
"12048,320",43,"34,4","52,4","17,5","0,08823",25772,"44,1","160535,1",10,1,3,300,"52,400",0,1
"12067,888",46,35,56,"18,7","0,11071",28952,"44,6","170153,7",11,7,3,272,"8,000",0,1
"12086,139",52,36,"63,3",7,"0,05053",67007,"48,3","258856,9",36,22,9,250,"2,877",0,1
"12088,076",37,"33,1","45,1",15,"0,03814",19592,"42,9",139971,10,1,3,300,"45,100",0,1
"12109,064",47,"35,2","57,2","19,1","0,11788",29242,"44,7","171002,9",10,5,3,300,"11,440",0,1
"12125,932",57,"36,8","69,4","6,3","0,04969",276370,"54,4","525709,2",101,22,11,108,"3,155",0,1
"12152,797",33,"32,1","40,2","20,1",0,808,"29,1","28417,5",1,1,2,2000,"40,200",0,1
"12175,519",39,"33,5","47,5","23,7","0,08353",8145,"39,1",90251,4,5,2,500,"9,500",0,1
"12198,632",49,"35,5","59,7","19,9","0,13177",33265,"45,2","182386,1",11,6,3,272,"9,950",0,1
"12210,598",42,"34,2","51,1",17,"0,08039",13625,"41,3","116725,5",8,1,3,375,"51,100",0,1
"12211,288",82,40,"99,9","14,3","0,13003",143149,"51,6","378350,3",26,14,7,269,"7,136",0,1
"12222,673",54,"36,4","65,8","21,9","0,16416",41308,"46,2","203242,7",11,2,3,272,"32,900",0,1
"12225,484",57,"36,8","69,4","34,7","0,27327",43021,"46,3",207414,11,2,2,181,"34,700",0,1
"12243,470",56,"36,7","68,2","3,8","0,02938",283589,"54,5","532531,1",127,36,18,141,"1,894",0,1
"12244,103",41,34,"49,9","16,6","0,07235",22598,"43,5","150325,2",10,6,3,300,"8,317",0,1
"12247,333",54,"36,4","65,8","21,9","0,16416",32737,"45,2","180934,2",10,6,3,300,"10,967",0,1
"12272,642",53,"36,2","64,5","21,5","0,15793",27912,"44,5","167069,2",10,6,3,300,"10,750",0,1
"12326,858",55,"36,5",67,"9,6","0,07298",36059,"45,6","189891,1",18,5,7,388,"13,400",0,1
"12356,387",51,"35,9","62,1","31,1","0,21766",17998,"42,6","134154,9",6,2,2,333,"31,050",1,1
"12388,917",36,"32,8","43,8",11,"0,02175",17724,"42,5","133129,8",13,5,4,307,"8,760",0,1
"12389,672",36,"32,8","43,8","21,9","0,04351",961,"29,8","31000,9",1,1,2,2000,"43,800",0,1
"12400,684",53,"36,2","64,5","16,1","0,11845",49490,"46,9","222463,3",14,2,4,285,"32,250",0,1
"12423,654",55,"36,5",67,"13,4","0,10217",80939,"49,1","284498,2",26,6,5,192,"11,167",0,1
"12454,627",372,"53,1",453,"7,8","0,04177",6686033,"68,3","2585736,5",479,31,58,121,"14,613",0,1
"12460,656",54,"36,4","65,8","13,2","0,0985",42553,"46,3","206284,7",18,10,5,277,"6,580",0,1
"12500,125",48,"35,3","58,5","19,5","0,1249",25915,"44,1",160981,10,6,3,300,"9,750",0,1
"12524,313",36,"32,8","43,8","21,9","0,04351",7074,"38,5","84109,7",4,1,2,500,"43,800",0,1
"12536,584",39,"33,5","47,5","47,5","0,16705",2256,"33,5","47495,4",1,1,1,1000,"47,500",0,1
"12543,569",68,"38,4","82,8","11,8","0,10329",89873,"49,5",299788,29,10,7,241,"8,280",0,1
"12575,232",38,"33,3","46,3","23,1","0,07054",28921,"44,6","170060,7",15,16,2,133,"2,894",0,1
"12590,269",121,"43,4","147,4","12,3","0,10827",856926,"59,3",925703,120,20,12,100,"7,370",2,1
"12605,914",70,"38,6","85,2","21,3","0,188",66724,"48,2","258309,2",14,10,4,285,"8,520",0,1
"12657,234",34,"32,3","41,4","41,4","0,02985",1714,"32,3","41406,2",1,1,1,1000,"41,400",0,1
"12664,419",83,"40,1","101,1","12,6","0,11529",190506,"52,8","436469,5",37,10,8,216,"10,110",0,1
"12707,447",134,"44,3","163,2","27,2","0,23356",307164,"54,9","554224,2",25,11,6,240,"14,836",0,1
"12727,178",101,"41,8",123,"17,6","0,1598",186898,"52,7","432316,7",29,10,7,241,"12,300",0,1
"12740,350",36,"32,8","43,8","14,6","0,029",9989,40,"99943,7",9,2,3,333,"21,900",0,1
"12743,265",41,34,"49,9","16,6","0,07235",20365,"43,1","142704,5",9,9,3,333,"5,544",0,1
"12743,378",55,"36,5",67,"16,7","0,12771",55811,"47,5","236244,1",15,11,4,266,"6,091",0,1
"12767,576",36,"32,8","43,8","43,8","0,08701",1922,"32,8","43841,9",1,2,1,1000,"21,900",0,1
"12772,606",43,"34,4","52,4","26,2","0,13235",11142,"40,5",105555,5,6,2,400,"8,733",0,1
"12797,870",61,"37,4","74,3","12,4","0,10239",107018,"50,3","327135,7",31,11,6,193,"6,755",0,1
"12837,711",307,"51,5","373,9","5,6","0,03329",4898428,"66,9","2213239,2",456,21,67,146,"17,805",0,1
"12850,860",82,40,"99,9","12,5","0,11378",211458,"53,3","459845,8",52,12,8,153,"8,325",0,1
"12853,427",41,34,"49,9",10,"0,04341",213313,"53,3","461858,6",174,2,5,28,"24,950",0,1
"12881,199",60,"37,3","73,1","10,4","0,08541",133504,"51,3","365382,6",38,10,7,184,"7,310",0,1
"12883,508",59,"37,1","71,9",9,"0,07263",122298,"50,9","349711,6",51,19,8,156,"3,784",0,1
"12905,082",59,"37,1","71,9","10,3","0,083",293465,"54,7","541724,2",108,27,7,64,"2,663",0,1
"12937,739",163,46,"198,5","12,4","0,09983",1189449,"60,8","1090618,5",113,26,16,141,"7,635",0,1
"12978,449",81,"39,9","98,6",11,"0,09977",542904,"57,3","736820,2",184,5,9,48,"19,720",0,1
"12989,226",94,"41,2","114,5","16,4","0,14954",230762,"53,6","480376,7",32,11,7,218,"10,409",0,1
"12989,452",66,"38,1","80,4","6,2","0,05332",258894,"54,1","508815,8",81,6,13,160,"13,400",0,1
"12993,713",34,"32,3","41,4","41,4","0,02985",1714,"32,3","41406,2",1,1,1,1000,"41,400",0,1
